テストケースID,元テスト設計ID,テスト観点ID,テストアプローチID,実行区分,テストレベル/タイプ,優先度,テストケース名,前提条件,入力データ,手順,期待結果,確認方法・証跡,関連質問ID,仕様,リスクID,状態,実行結果,実行日時,実行コマンド,Bug ID,実行メモ
TC-CB-206,TD022,TV022,TA004,コードベース,Integration,中,TD022 定常グループ削除時に生成タスクが削除され、他グループ・単独タスクへ波及しないこと 分割02,README 定常タスク削除 の仕様を確認できるテストデータを用意し、対象設計 TD022 の条件を再現する。,定常グループ削除時に生成タスクが削除され、他グループ・単独タスクへ波及しないこと 分割02。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td022_206@example.test、対象データ名は TC-CB-206 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,定常グループ削除時に生成タスクが削除され、他グループ・単独タスクへ波及しないこと のうち「定常グループ削除時に生成タスクが削除され、他グループ・単独タスクへ波及しないこと 分割02」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 定常タスク削除,"R004, R008",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-207,TD022,TV022,TA004,コードベース,Integration,中,TD022 定常グループ削除時に生成タスクが削除され、他グループ・単独タスクへ波及しないこと 分割03,README 定常タスク削除 の仕様を確認できるテストデータを用意し、対象設計 TD022 の条件を再現する。,定常グループ削除時に生成タスクが削除され、他グループ・単独タスクへ波及しないこと 分割03。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td022_207@example.test、対象データ名は TC-CB-207 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,定常グループ削除時に生成タスクが削除され、他グループ・単独タスクへ波及しないこと のうち「定常グループ削除時に生成タスクが削除され、他グループ・単独タスクへ波及しないこと 分割03」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 定常タスク削除,"R004, R008",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-208,TD022,TV022,TA004,コードベース,Integration,中,TD022 定常グループ削除時に生成タスクが削除され、他グループ・単独タスクへ波及しないこと 分割04,README 定常タスク削除 の仕様を確認できるテストデータを用意し、対象設計 TD022 の条件を再現する。,定常グループ削除時に生成タスクが削除され、他グループ・単独タスクへ波及しないこと 分割04。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td022_208@example.test、対象データ名は TC-CB-208 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,定常グループ削除時に生成タスクが削除され、他グループ・単独タスクへ波及しないこと のうち「定常グループ削除時に生成タスクが削除され、他グループ・単独タスクへ波及しないこと 分割04」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 定常タスク削除,"R004, R008",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-209,TD022,TV022,TA004,コードベース,Integration,中,TD022 定常グループ削除時に生成タスクが削除され、他グループ・単独タスクへ波及しないこと 分割05,README 定常タスク削除 の仕様を確認できるテストデータを用意し、対象設計 TD022 の条件を再現する。,定常グループ削除時に生成タスクが削除され、他グループ・単独タスクへ波及しないこと 分割05。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td022_209@example.test、対象データ名は TC-CB-209 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,定常グループ削除時に生成タスクが削除され、他グループ・単独タスクへ波及しないこと のうち「定常グループ削除時に生成タスクが削除され、他グループ・単独タスクへ波及しないこと 分割05」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 定常タスク削除,"R004, R008",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-210,TD045,TV045,TA008,コードベース,Integration,中,TD045 親削除時に子のparent_task_idがNULLとなり、子タスク自体は保持されること 分割01,FK ON DELETE SET NULL の仕様を確認できるテストデータを用意し、対象設計 TD045 の条件を再現する。,親削除時に子のparent_task_idがNULLとなり、子タスク自体は保持されること 分割01。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td045_210@example.test、対象データ名は TC-CB-210 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,親削除時に子のparent_task_idがNULLとなり、子タスク自体は保持されること のうち「親削除時に子のparent_task_idがNULLとなり、子タスク自体は保持されること 分割01」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,FK ON DELETE SET NULL,R008,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-211,TD045,TV045,TA008,コードベース,Integration,中,TD045 親削除時に子のparent_task_idがNULLとなり、子タスク自体は保持されること 分割02,FK ON DELETE SET NULL の仕様を確認できるテストデータを用意し、対象設計 TD045 の条件を再現する。,親削除時に子のparent_task_idがNULLとなり、子タスク自体は保持されること 分割02。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td045_211@example.test、対象データ名は TC-CB-211 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,親削除時に子のparent_task_idがNULLとなり、子タスク自体は保持されること のうち「親削除時に子のparent_task_idがNULLとなり、子タスク自体は保持されること 分割02」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,FK ON DELETE SET NULL,R008,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-212,TD045,TV045,TA008,コードベース,Integration,中,TD045 親削除時に子のparent_task_idがNULLとなり、子タスク自体は保持されること 分割03,FK ON DELETE SET NULL の仕様を確認できるテストデータを用意し、対象設計 TD045 の条件を再現する。,親削除時に子のparent_task_idがNULLとなり、子タスク自体は保持されること 分割03。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td045_212@example.test、対象データ名は TC-CB-212 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,親削除時に子のparent_task_idがNULLとなり、子タスク自体は保持されること のうち「親削除時に子のparent_task_idがNULLとなり、子タスク自体は保持されること 分割03」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,FK ON DELETE SET NULL,R008,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-213,TD046,TV046,TA008,コードベース,Integration,中,TD046 カテゴリ削除時に参照タスクを未分類として保持し、分析・一覧が壊れないこと 分割01,FK ON DELETE SET NULL の仕様を確認できるテストデータを用意し、対象設計 TD046 の条件を再現する。,カテゴリ削除時に参照タスクを未分類として保持し、分析・一覧が壊れないこと 分割01。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td046_213@example.test、対象データ名は TC-CB-213 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,カテゴリ削除時に参照タスクを未分類として保持し、分析・一覧が壊れないこと のうち「カテゴリ削除時に参照タスクを未分類として保持し、分析・一覧が壊れないこと 分割01」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,FK ON DELETE SET NULL,R008,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-214,TD046,TV046,TA008,コードベース,Integration,中,TD046 カテゴリ削除時に参照タスクを未分類として保持し、分析・一覧が壊れないこと 分割02,FK ON DELETE SET NULL の仕様を確認できるテストデータを用意し、対象設計 TD046 の条件を再現する。,カテゴリ削除時に参照タスクを未分類として保持し、分析・一覧が壊れないこと 分割02。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td046_214@example.test、対象データ名は TC-CB-214 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,カテゴリ削除時に参照タスクを未分類として保持し、分析・一覧が壊れないこと のうち「カテゴリ削除時に参照タスクを未分類として保持し、分析・一覧が壊れないこと 分割02」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,FK ON DELETE SET NULL,R008,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-215,TD046,TV046,TA008,コードベース,Integration,中,TD046 カテゴリ削除時に参照タスクを未分類として保持し、分析・一覧が壊れないこと 分割03,FK ON DELETE SET NULL の仕様を確認できるテストデータを用意し、対象設計 TD046 の条件を再現する。,カテゴリ削除時に参照タスクを未分類として保持し、分析・一覧が壊れないこと 分割03。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td046_215@example.test、対象データ名は TC-CB-215 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,カテゴリ削除時に参照タスクを未分類として保持し、分析・一覧が壊れないこと のうち「カテゴリ削除時に参照タスクを未分類として保持し、分析・一覧が壊れないこと 分割03」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,FK ON DELETE SET NULL,R008,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-216,TD047,TV047,TA008,コードベース,Integration,高,TD047 全子完了で親が完了し、子の完了解除では親を自動的に戻さないこと 分割01,README 親子タスク の仕様を確認できるテストデータを用意し、対象設計 TD047 の条件を再現する。,全子完了で親が完了し、子の完了解除では親を自動的に戻さないこと 分割01。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td047_216@example.test、対象データ名は TC-CB-216 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,全子完了で親が完了し、子の完了解除では親を自動的に戻さないこと のうち「全子完了で親が完了し、子の完了解除では親を自動的に戻さないこと 分割01」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 親子タスク,"R003, R008",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-217,TD047,TV047,TA008,コードベース,Integration,高,TD047 全子完了で親が完了し、子の完了解除では親を自動的に戻さないこと 分割02,README 親子タスク の仕様を確認できるテストデータを用意し、対象設計 TD047 の条件を再現する。,全子完了で親が完了し、子の完了解除では親を自動的に戻さないこと 分割02。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td047_217@example.test、対象データ名は TC-CB-217 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,全子完了で親が完了し、子の完了解除では親を自動的に戻さないこと のうち「全子完了で親が完了し、子の完了解除では親を自動的に戻さないこと 分割02」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 親子タスク,"R003, R008",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-218,TD047,TV047,TA008,コードベース,Integration,高,TD047 全子完了で親が完了し、子の完了解除では親を自動的に戻さないこと 分割03,README 親子タスク の仕様を確認できるテストデータを用意し、対象設計 TD047 の条件を再現する。,全子完了で親が完了し、子の完了解除では親を自動的に戻さないこと 分割03。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td047_218@example.test、対象データ名は TC-CB-218 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,全子完了で親が完了し、子の完了解除では親を自動的に戻さないこと のうち「全子完了で親が完了し、子の完了解除では親を自動的に戻さないこと 分割03」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 親子タスク,"R003, R008",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-219,TD047,TV047,TA008,コードベース,Integration,高,TD047 全子完了で親が完了し、子の完了解除では親を自動的に戻さないこと 分割04,README 親子タスク の仕様を確認できるテストデータを用意し、対象設計 TD047 の条件を再現する。,全子完了で親が完了し、子の完了解除では親を自動的に戻さないこと 分割04。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td047_219@example.test、対象データ名は TC-CB-219 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,全子完了で親が完了し、子の完了解除では親を自動的に戻さないこと のうち「全子完了で親が完了し、子の完了解除では親を自動的に戻さないこと 分割04」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 親子タスク,"R003, R008",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-220,TD048,TV048,TA008,コードベース,Integration,中,TD048 自己参照、循環参照、削除済みIDを親として保存できないこと 分割01,TaskForm、FK の仕様を確認できるテストデータを用意し、対象設計 TD048 の条件を再現する。,自己参照、循環参照、削除済みIDを親として保存できないこと 分割01。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td048_220@example.test、対象データ名は TC-CB-220 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,自己参照、循環参照、削除済みIDを親として保存できないこと のうち「自己参照、循環参照、削除済みIDを親として保存できないこと 分割01」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,TaskForm、FK,R008,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-221,TD048,TV048,TA008,コードベース,Integration,中,TD048 自己参照、循環参照、削除済みIDを親として保存できないこと 分割02,TaskForm、FK の仕様を確認できるテストデータを用意し、対象設計 TD048 の条件を再現する。,自己参照、循環参照、削除済みIDを親として保存できないこと 分割02。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td048_221@example.test、対象データ名は TC-CB-221 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,自己参照、循環参照、削除済みIDを親として保存できないこと のうち「自己参照、循環参照、削除済みIDを親として保存できないこと 分割02」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,TaskForm、FK,R008,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-222,TD048,TV048,TA008,コードベース,Integration,中,TD048 自己参照、循環参照、削除済みIDを親として保存できないこと 分割03,TaskForm、FK の仕様を確認できるテストデータを用意し、対象設計 TD048 の条件を再現する。,自己参照、循環参照、削除済みIDを親として保存できないこと 分割03。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td048_222@example.test、対象データ名は TC-CB-222 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,自己参照、循環参照、削除済みIDを親として保存できないこと のうち「自己参照、循環参照、削除済みIDを親として保存できないこと 分割03」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,TaskForm、FK,R008,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-223,TD069,TV069,TA014,コードベース,Integration,高,TD069 20260507120154_create_tasks_schema.sql,README DBセットアップ の仕様を確認できるテストデータを用意し、対象設計 TD069 の条件を再現する。,20260507120154_create_tasks_schema.sql。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td069_223@example.test、対象データ名は TC-CB-223 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,12 migrationを記載順に新規DBへ適用し、必要なテーブル・列・制約・トリガーが成立すること のうち「20260507120154_create_tasks_schema.sql」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README DBセットアップ,"R001, R012",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-224,TD069,TV069,TA014,コードベース,Integration,高,TD069 20260507124519_add_actual_times_to_tasks.sql,README DBセットアップ の仕様を確認できるテストデータを用意し、対象設計 TD069 の条件を再現する。,20260507124519_add_actual_times_to_tasks.sql。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td069_224@example.test、対象データ名は TC-CB-224 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,12 migrationを記載順に新規DBへ適用し、必要なテーブル・列・制約・トリガーが成立すること のうち「20260507124519_add_actual_times_to_tasks.sql」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README DBセットアップ,"R001, R012",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-225,TD069,TV069,TA014,コードベース,Integration,高,TD069 20260507132400_fix_difficulty_check_allow_zero.sql,README DBセットアップ の仕様を確認できるテストデータを用意し、対象設計 TD069 の条件を再現する。,20260507132400_fix_difficulty_check_allow_zero.sql。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td069_225@example.test、対象データ名は TC-CB-225 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,12 migrationを記載順に新規DBへ適用し、必要なテーブル・列・制約・トリガーが成立すること のうち「20260507132400_fix_difficulty_check_allow_zero.sql」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README DBセットアップ,"R001, R012",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-226,TD069,TV069,TA014,コードベース,Integration,高,TD069 20260507135810_fix_update_updated_at_search_path.sql,README DBセットアップ の仕様を確認できるテストデータを用意し、対象設計 TD069 の条件を再現する。,20260507135810_fix_update_updated_at_search_path.sql。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td069_226@example.test、対象データ名は TC-CB-226 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,12 migrationを記載順に新規DBへ適用し、必要なテーブル・列・制約・トリガーが成立すること のうち「20260507135810_fix_update_updated_at_search_path.sql」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README DBセットアップ,"R001, R012",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-227,TD069,TV069,TA014,コードベース,Integration,高,TD069 20260507142514_add_priority_to_tasks.sql,README DBセットアップ の仕様を確認できるテストデータを用意し、対象設計 TD069 の条件を再現する。,20260507142514_add_priority_to_tasks.sql。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td069_227@example.test、対象データ名は TC-CB-227 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,12 migrationを記載順に新規DBへ適用し、必要なテーブル・列・制約・トリガーが成立すること のうち「20260507142514_add_priority_to_tasks.sql」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README DBセットアップ,"R001, R012",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-228,TD069,TV069,TA014,コードベース,Integration,高,TD069 20260508015438_add_estimate_factors_to_tasks.sql,README DBセットアップ の仕様を確認できるテストデータを用意し、対象設計 TD069 の条件を再現する。,20260508015438_add_estimate_factors_to_tasks.sql。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td069_228@example.test、対象データ名は TC-CB-228 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,12 migrationを記載順に新規DBへ適用し、必要なテーブル・列・制約・トリガーが成立すること のうち「20260508015438_add_estimate_factors_to_tasks.sql」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README DBセットアップ,"R001, R012",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-229,TD069,TV069,TA014,コードベース,Integration,高,TD069 20260508033304_add_track_actual_to_tasks.sql,README DBセットアップ の仕様を確認できるテストデータを用意し、対象設計 TD069 の条件を再現する。,20260508033304_add_track_actual_to_tasks.sql。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td069_229@example.test、対象データ名は TC-CB-229 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,12 migrationを記載順に新規DBへ適用し、必要なテーブル・列・制約・トリガーが成立すること のうち「20260508033304_add_track_actual_to_tasks.sql」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README DBセットアップ,"R001, R012",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-230,TD069,TV069,TA014,コードベース,Integration,高,TD069 20260508034739_add_recurrence_groups.sql,README DBセットアップ の仕様を確認できるテストデータを用意し、対象設計 TD069 の条件を再現する。,20260508034739_add_recurrence_groups.sql。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td069_230@example.test、対象データ名は TC-CB-230 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,12 migrationを記載順に新規DBへ適用し、必要なテーブル・列・制約・トリガーが成立すること のうち「20260508034739_add_recurrence_groups.sql」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README DBセットアップ,"R001, R012",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-231,TD069,TV069,TA014,コードベース,Integration,高,TD069 20260508040152_add_track_actual_to_recurrence_groups.sql,README DBセットアップ の仕様を確認できるテストデータを用意し、対象設計 TD069 の条件を再現する。,20260508040152_add_track_actual_to_recurrence_groups.sql。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td069_231@example.test、対象データ名は TC-CB-231 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,12 migrationを記載順に新規DBへ適用し、必要なテーブル・列・制約・トリガーが成立すること のうち「20260508040152_add_track_actual_to_recurrence_groups.sql」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README DBセットアップ,"R001, R012",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-232,TD069,TV069,TA014,コードベース,Integration,高,TD069 20260508052021_fix_update_recurrence_groups_updated_at_security.sql,README DBセットアップ の仕様を確認できるテストデータを用意し、対象設計 TD069 の条件を再現する。,20260508052021_fix_update_recurrence_groups_updated_at_security.sql。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td069_232@example.test、対象データ名は TC-CB-232 とする。,1. Supabase統合テスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,12 migrationを記載順に新規DBへ適用し、必要なテーブル・列・制約・トリガーが成立すること のうち「20260508052021_fix_update_recurrence_groups_updated_at_security.sql」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README DBセットアップ,"R001, R012",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
